"AccountID","AccountNumber","AccountName","AccountNameEnglish","ParentID"
"50B157DA-AB79-4B3D-8547-B6DBDE8007E6","111",Tiền mặt,Cash in hand,
"1AC41676-F5AE-428B-9944-7A6D42CFBCCB","1111",Tiền Việt Nam,Vietnam dong,"50B157DA-AB79-4B3D-8547-B6DBDE8007E6"
"40DA9697-4ECB-41C8-8A2B-E51473D7CCF8","1112",Ngoại tệ,Foreign currency,"50B157DA-AB79-4B3D-8547-B6DBDE8007E6"
"7CB47DB4-2913-491C-B2CE-0C3F47E1AA9A","112",Tiền gửi Ngân hàng,Cash in bank,
"0C650A91-0D66-4A95-BFDD-861008523997","1121",Tiền Việt Nam,Vietnam dong,"7CB47DB4-2913-491C-B2CE-0C3F47E1AA9A"
"52B1181C-F4EB-451A-88E2-4E631ECF3E16","1122",Ngoại tệ,Foreign currency,"7CB47DB4-2913-491C-B2CE-0C3F47E1AA9A"
"0A9C8DA6-E781-4B1F-B7B2-5884C7E3F4F4","121",Chứng khoán kinh doanh,Securities trading,
"3CC09EA4-641E-41F6-993B-01D9991E2BBB","128",Đầu tư nắm giữ đến ngày đáo hạn,Other short - term investment,
"61BA87BE-B8D8-426B-84AE-D806A161A57C","1281",Tiền gửi có kỳ hạn,Term deposits,"3CC09EA4-641E-41F6-993B-01D9991E2BBB"
DD417ADA-3831-46DD-A73A-8CF5A8F6A1FF,"1288",Các khoản đầu tư khác nắm giữ đến ngày đáo hạn,Other short - term investment,"3CC09EA4-641E-41F6-993B-01D9991E2BBB"
A63CDF70-E5C3-4963-A6AE-32FB3FE02C9F,"131",Phải thu của khách hàng,Accounts receivable - trade,
B5F6EDDA-EF16-48B0-BA05-89964E9A06EC,"133",Thuế GTGT được khấu trừ,VAT deducted,
"54385462-0664-4CB0-8249-F19E5A2F6D14","1331","Thuế GTGT được khấu trừ của hàng hóa, dịch vụ","VAT deduction of goods, services",B5F6EDDA-EF16-48B0-BA05-89964E9A06EC
B1958BFE-2517-4B50-A61A-A07DCEC9C5FF,"1332",Thuế GTGT được khấu trừ của TSCĐ,VAT deduction of fixed assets,B5F6EDDA-EF16-48B0-BA05-89964E9A06EC
"7252CCCF-A217-4183-AC83-C35C9633BFEC","136",Phải thu nội bộ,Intercompany receivable,
D84EDB60-E157-433D-B766-F61E66E5E03D,"1361",Vốn kinh doanh ở đơn vị trực thuộc,Investment in equity of subsidiaries,"7252CCCF-A217-4183-AC83-C35C9633BFEC"
"51D8F767-B281-42DB-9D41-CCFD6AFFB2AE","1368",Phải thu nội bộ khác,Other receivable from subsidiaries,"7252CCCF-A217-4183-AC83-C35C9633BFEC"
"1B3141BF-D9ED-4233-8F43-064B228391BC","138",Phải thu khác,Other receivable,
